,itemId,itemName,itemType,avgPlat,lastSold,avgPlatMaxed,lastSoldMaxed,avgPlatDiff,lastSoldPlatDiff
0,54aae292e7798909064f1575,Secura Dual Cestra,Weapon,33.3,33.333,,,,
1,54ca39abe7798915c1c11e10,Creeping Bullseye,Mod,7.2,7.022,14.9,16.143,7.7,9.12
2,54d4c727e77989281cc7d753,Mutalist Alad V Assassinate (Key),Key,8.5,8.333,,,,
3,54e0c9eee7798903744178b0,Irradiating Disarm,Mod,13.5,14.0,,,,
4,54e644ffe779897594fa68cf,Antimatter Absorb,Mod,9.9,9.333,,,,
5,551085aee77989729e1416d0,Arcane Barrier,Arcane,7.0,8.0,,,,
6,551085c9e7798972b4a2b206,Arcane Ice,Arcane,24.8,27.5,,,,
7,55e797d2e7798924849dd9f0,Telos Boltor,Weapon,24.8,27.536,,,,
8,56783f24cbfa8f0432dd899c,Frost Prime Set,Warframe,89.2,89.404,,,,
9,56a7b2a51133f656cb085d93,Catalyzer Link,Mod,4.9,2.333,,10.0,-4.9,7.67
10,56a7b2bb1133f656cb085d98,Targeting Subsystem,Mod,9.0,9.75,22.6,20.0,13.6,10.25
11,56aba2f78d6d183da42403c0,Strun Wraith Receiver,Weapon,13.0,11.714,,,,
12,56b656d1ef0390c7e4006381,Tectonic Fracture,Mod,13.0,15.0,,,,
13,57222f1c92cc365777a61c0f,Mantis Set,Blueprint,18.5,19.667,,,,
14,5729bd02cb59ed5a9b484e8c,Acid Shells,Mod,16.1,16.5,29.0,23.0,12.9,6.5
15,5729bd0acb59ed5a9b484e8e,Nightwatch Napalm,Mod,22.8,21.032,26.0,31.0,3.2,9.97
16,5783909ad9b6753790c89e82,Quasar Drill,Mod,5.4,5.0,,,,
17,5783909ed9b6753790c89e83,Comet Blast,Mod,4.8,5.0,,,,
18,578390a2d9b6753790c89e84,Nebula Bore,Mod,4.3,5.0,,,,
19,5783bee2d9b6753790c89e87,Kaszas Blade,Weapon,8.6,9.286,,,,
20,5783bf0ad9b6753790c89e89,Velocitus Receiver,Weapon,8.9,9.0,,,,
21,5783bf15d9b6753790c89e8b,Fluctus Barrel,Weapon,9.9,9.231,,,,
22,5783bf1ad9b6753790c89e8c,Fluctus Limbs,Weapon,9.8,9.364,,,,
23,5783bf20d9b6753790c89e8d,Fluctus Stock,Weapon,8.6,9.429,,,,
24,5783bf27d9b6753790c89e8e,Decurion Barrel,Weapon,9.4,9.333,,,,
25,59a48b625cd9938cfede703c,Hydroid Prime Set,Warframe,105.4,106.314,,,,
26,595567c18e34b5ed3cb3d9bd,Cleanse Corrupted,Mod,13.5,14.0,31.5,20.0,18.0,6.0
27,598b06b4ab6b61be6fec0fb4,Kappa Beacon,Misc.,85.8,20.0,,,,
28,59eba86952f90ed715e14158,Star Crimzian,Gem,1.6,1.429,,,,
29,5a04750c6c4655012038ddcb,Virtuos Strike,Arcane,4.7,4.455,,,,
30,5a0ef3fb10bc40007cce1c89,Hunter Adrenaline,Mod,4.0,4.0,9.8,10.0,5.8,6.0
31,5a5a121bdd7913052b3a0967,Viper Wraith,Weapon,33.8,33.569,,,,
32,5a9e8667b2b6a800db67f122,Orokin Derelict Plaza Scene,Misc.,,25.0,,,,
33,5a9e8669b2b6a800db67f123,Grineer Shipyards Manufactory Scene,Misc.,,50.0,,,,
34,5a9e8669b2b6a800db67f124,Infested Ship Bridge Scene,Misc.,,25.0,,,,
35,5a9e866bb2b6a800db67f125,Lua Nursery Scene,Misc.,,15.0,,,,
36,5a9e8670b2b6a800db67f126,Corpus Gas City Conduit Scene,Misc.,,50.0,,,,
37,5a9e8670b2b6a800db67f127,Grineer Settlement Reactor Scene,Misc.,,43.333,,,,
38,5a9e8677b2b6a800db67f128,Corpus Ice Planet Wreckage Scene,Misc.,,25.0,,,,
39,5a9ed835b2b6a80133127c2c,Eidolon Madurai Lens,Lens,24.5,24.8,,,,
40,5a9ed835b2b6a80133127c2e,Eidolon Vazarin Lens,Lens,20.7,19.0,,,,
41,5a9ed835b2b6a80133127c2f,Eidolon Unairu Lens,Lens,20.8,20.0,,,,
42,5ab1570db2b6a8044d5137c3,Zephyr Prime Chassis Blueprint,Warframe,6.1,5.727,,,,
43,5bd05ad03ffcc700eb7cfcfd,Mycona Colony Scene,Misc.,,20.0,,,,
44,5bf54b483ffcc7066e7eb856,Pax Soar,Arcane,36.1,31.667,,,,
45,5c196fad96037800ddadac14,Redeemer Prime Blade,Weapon,4.6,5.231,,,,
46,5c196fb096037800ddadac18,Akjagara Prime Receiver,Weapon,9.3,10.375,,,,
47,5c1e62d3817a0d0092fb1608,Kitgun Riven Mod (Veiled),Riven,2.0,1.424,,,,
48,5c3892672cc6ce00f238139d,Spectrosiphon,Mod,11.3,10.933,11.1,3.0,-0.2,-7.93
49,5c7849e22cc6ce090383e266,Wolf Sledge Head,Weapon,2.6,4.333,,,,
50,5c7849e22cc6ce090383e267,Wolf Sledge Set,Weapon,55.6,59.923,,,,
51,5c7849e32cc6ce090383e26d,Orb Vallis Scene,Misc.,47.5,40.0,,,,
52,5d21ce43f4604c012d1e0c0e,Zhuge Prime Grip,Weapon,5.0,6.0,,,,
53,54a74454e779892d5e515652,Freeze Force,Mod,12.3,14.0,,,,
54,54a74454e779892d5e515656,Swirling Tiger,Mod,3.2,4.0,10.8,19.0,7.6,15.0
55,54a74455e779892d5e51568d,Quick Thinking,Mod,4.6,4.44,10.9,10.0,6.3,5.56
56,54ca431ce779891a1adb4901,Wyrm Prime Blueprint,Blueprint,11.7,10.87,,,,
57,59f38f558c202c007335ba66,Spring-Loaded Blade,Mod,13.4,12.478,19.8,20.0,6.4,7.52
58,59f38f568c202c007335ba67,Kinetic Diversion,Mod,7.6,9.5,,,,
59,54a74454e779892d5e5155d4,Power Throw,Mod,1.4,1.0,7.7,10.0,6.3,9.0
60,59f38f588c202c007335ba68,Fateful Truth,Mod,,1.0,,,,
61,54a74454e779892d5e51558e,Malignant Force,Mod,6.0,5.978,11.8,11.455,5.8,5.48
62,54a74454e779892d5e5155d8,Superior Defenses,Mod,3.5,4.0,10.6,10.0,7.1,6.0
63,54a74454e779892d5e5155a3,Energy Inversion,Mod,3.2,4.0,,,,
64,54a74454e779892d5e5155a6,Shattering Justice,Mod,9.0,9.0,10.0,9.0,1.0,0.0
65,54a74454e779892d5e515665,Fast Hands,Mod,3.2,5.0,,,,
66,54a74454e779892d5e515600,Polar Magazine,Mod,3.6,3.667,,,,
67,54a74454e779892d5e515605,Rifle Amp,Mod,14.5,10.1,,,,
68,54a74454e779892d5e515667,Spare Parts,Mod,2.9,3.0,10.3,5.0,7.4,2.0
69,54a74454e779892d5e515608,No Return,Mod,106.2,1.0,,,,
70,54a74454e779892d5e515668,Vaporize,Mod,5.0,4.0,,,,
71,54a74454e779892d5e51560c,Vicious Spread,Mod,3.9,3.4,,,,
72,54a74454e779892d5e515624,Enemy Sense,Mod,2.9,3.0,,,,
73,54a74454e779892d5e5155cc,Blind Rage,Mod,11.9,12.299,79.2,77.488,67.3,65.19
74,54a74454e779892d5e5155d1,Rifle Ammo Mutation,Mod,6.3,6.0,,,,
75,5740c16d9d238d4a03d28515,Imperator Vandal Barrel,Weapon,9.9,11.0,,,,
76,54a73e65e779893a797fff50,Orthos Prime Blade,Weapon,3.2,3.394,,,,
77,54a73e65e779893a797fff74,Loki Prime Systems Blueprint,Warframe,31.1,30.974,,,,
78,5667576ddb7c7a568a8d45c2,Naramon Lens,Lens,3.2,3.0,,,,
79,566759c8db7c7a568a8d45c5,Coaction Drift,Mod,10.0,9.977,16.1,13.714,6.1,3.74
80,54a74454e779892d5e5155de,Shotgun Savvy,Mod,3.8,3.0,,,,
